DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA-NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241004111,01/02/2024 12:00:00 AM,07/02/2021 12:00:00 AM,1520,10,West Valley,1044,2,354,THEFT OF IDENTITY,1822 0926 0928,21,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,18300    BURBANK                      BL,,34.1765,-118.5333
241705430,02/02/2024 12:00:00 AM,10/02/2022 12:00:00 AM,1405,17,Devonshire,1735,2,354,THEFT OF IDENTITY,1822 0930,48,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17000    LOS ALIMOS                   ST,,34.266,-118.5023
241905295,02/02/2024 12:00:00 AM,10/02/2022 12:00:00 AM,1345,19,Mission,1913,2,354,THEFT OF IDENTITY,1202 0928,72,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,13200    DE FOE                       AV,,34.3104,-118.4584
242104091,01/02/2024 12:00:00 AM,01/02/2022 12:00:00 AM,1525,21,Topanga,2177,2,354,THEFT OF IDENTITY,0377,64,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,21800    BURBANK                      BL,,34.173,-118.6023
241305526,02/02/2024 12:00:00 AM,12/22/2022 12:00:00 AM,1600,13,Newton,1341,1,330,BURGLARY FROM VEHICLE,1251 1307 1300,22,M,A,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,3400 S  GRAND                        AV,,34.0203,-118.2762
241505651,02/02/2024 12:00:00 AM,02/24/2022 12:00:00 AM,0050,15,N Hollywood,1516,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443,56,F,H,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,930,,,,6600    KRAFT                        AV,,34.1903,-118.3802
240804054,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1400,08,West LA,0832,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,50,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,1100 S  BARRINGTON                   AV,,34.0511,-118.4626
241004047,01/02/2024 12:00:00 AM,01/02/2023 12:00:00 AM,0305,10,West Valley,1004,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7700    ETIWANDA                     AV,,34.2102,-118.5317
241104065,01/02/2024 12:00:00 AM,12/02/2023 12:00:00 AM,0100,11,Northeast,1136,1,480,BIKE - STOLEN,0344,41,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,480,,,,900    DEXTER                       ST,,34.116,-118.2101
240705693,02/08/2024 12:00:00 AM,02/02/2024 12:00:00 AM,1430,07,Wilshire,0713,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385 1822,23,F,W,101,STREET,,,IC,Invest Cont,331,,,,400 N  ORANGE GROVE                 AV,,34.0782,-118.3604
240604026,01/02/2024 12:00:00 AM,12/19/2023 12:00:00 AM,0100,06,Hollywood,0666,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6200 W  SUNSET                       BL,,34.098,-118.3237
241304087,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,0100,13,Newton,1309,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1822,27,X,H,103,ALLEY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,1900    BAY                          ST,,34.0315,-118.2342
240404055,01/02/2024 12:00:00 AM,12/30/2023 12:00:00 AM,2040,04,Hollenbeck,0466,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,300 N  FICKETT                      ST,,34.0442,-118.2063
240804093,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1300,08,West LA,0842,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0358 0385,24,F,W,101,STREET,,,IC,Invest Cont,331,,,,1300 S  WESTGATE                     AV,,34.0455,-118.4619
241304067,01/02/2024 12:00:00 AM,12/08/2023 12:00:00 AM,2330,13,Newton,1307,1,520,VEHICLE - ATTEMPT STOLEN,1822 1609 1307,72,M,W,101,STREET,,,IC,Invest Cont,520,,,,900 E  8TH                          ST,,34.0365,-118.2468
241504094,01/02/2024 12:00:00 AM,11/15/2023 12:00:00 AM,0600,15,N Hollywood,1531,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,12500    MIRANDA                      ST,,34.1748,-118.4053
240204292,01/06/2024 12:00:00 AM,01/02/2024 12:00:00 AM,1700,02,Rampart,0237,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1400    MIRAMAR                      ST,,34.0593,-118.261
240304105,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1345,03,Southwest,0325,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 2049 0910 1202,64,F,W,801,MTA BUS,,,IC,Invest Cont,440,,,,W  ADAMS                        BL,S  VERMONT                      AV,34.0328,-118.2916
241906319,03/02/2024 12:00:00 AM,02/23/2024 12:00:00 AM,1200,19,Mission,1925,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,POLK,SAN FERNANDO,34.2995,-118.4588
241404170,01/02/2024 12:00:00 AM,06/01/2023 12:00:00 AM,0001,14,Pacific,1425,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,70,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,3100    BUTLER                       AV,,34.0241,-118.4335
241705500,02/04/2024 12:00:00 AM,02/02/2024 12:00:00 AM,2000,17,Devonshire,1745,1,520,VEHICLE - ATTEMPT STOLEN,1202 1609 0329,63,M,O,101,STREET,,,IC,Invest Cont,520,,,,17200    DEVONSHIRE                   ST,,34.2611,-118.5158
240104068,01/02/2024 12:00:00 AM,07/15/2023 12:00:00 AM,1200,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  8TH                          ST,,34.0479,-118.2612
